Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2000,Total,Total,617,770,1050,"1,656","11,203",2.67%,10.00%,-10.49%,30.19%
2000,Total,Bedsitter,528,610,676,58,437,1.67%,35.56%,56.76%,28.89%
2000,Total,1 Bedroom,559,680,800,"1,052","5,476",1.64%,8.80%,.19%,53.13%
2000,Total,Not Specified,619,669,945,s,460,-29.58%,7.04%,-94.93%,-29.17%
2000,Total,2 Bedrooms,1000,1150,1300,444,"4,110",-4.17%,27.78%,25.42%,2.07%
2000,Total,3 Bedrooms,1425,1695,2050,79,665,9.35%,30.38%,17.91%,5.33%
2000,Total,4 or more Bedrooms,-,-,-,-,55,-,-,-,-
2000,House,Total,895,1100,1350,s,347,18.28%,29.41%,-91.24%,7.41%
2000,House,Bedsitter,-,-,-,-,s,-,-,-,-
2000,House,1 Bedroom,-,-,-,-,126,-,-,-,-
2000,House,Not Specified,-,-,-,-,38,-,-,-,-
2000,House,2 Bedrooms,1038,1150,1358,s,105,15.29%,39.39%,-14.29%,50.00%
2000,House,3 Bedrooms,-,-,-,-,45,-,-,-,-
2000,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2000,Other,Total,529,579,671,564,"1,974",-7.95%,-7.95%,-12.96%,271.05%
2000,Other,Bedsitter,-,-,-,-,91,-,-,-,-
2000,Other,1 Bedroom,529,579,669,534,"1,516",-7.95%,-7.95%,-15.10%,310.77%
2000,Other,Not Specified,459,629,682,s,210,-14.94%,529.00%,200.00%,71.43%
2000,Other,2 Bedrooms,-,-,-,-,130,-,-,-,-
2000,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2000,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2000,Townhouse,Total,-,-,-,-,63,-,-,-,-
2000,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2000,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2000,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2000,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2000,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2000,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2000,Flat/Unit,Total,750,950,1200,"1,053","8,819",.00%,28.38%,21.59%,-3.04%
2000,Flat/Unit,Bedsitter,570,640,693,51,331,4.92%,37.63%,82.14%,41.67%
2000,Flat/Unit,1 Bedroom,700,800,900,507,"3,826",5.26%,29.03%,29.67%,-6.97%
2000,Flat/Unit,Not Specified,-,-,-,-,211,-,-,-,-
2000,Flat/Unit,2 Bedrooms,1000,1150,1300,418,"3,847",-4.17%,27.78%,27.05%,-.71%
2000,Flat/Unit,3 Bedrooms,1480,1700,2000,69,579,6.25%,25.93%,16.95%,6.15%
2000,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2007,Total,Total,369,409,600,766,"2,913",-24.12%,9.80%,45.90%,50.20%
2007,Total,Bedsitter,414,475,596,s,61,-5.00%,21.79%,-14.29%,33.33%
2007,Total,1 Bedroom,369,389,529,658,"1,782",-10.06%,17.17%,84.83%,70.47%
